Genre_Name,Composer,Albums_Title,Media_Distribution,Price,Product_Quantity,Billing_Adress
Rock,,Balls to the Wall,Protected AAC audio file,0.99,1,Stuttgart
Rock,,Restless and Wild,Protected AAC audio file,0.99,1,Stuttgart
Rock,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",Big Ones,Protected AAC audio file,0.99,1,Stuttgart
Rock,"Angus Young, Malcolm Young, Brian Johnson",For Those About To Rock We Salute You,MPEG audio file,0.99,1,Oslo
Rock,"Angus Young, Malcolm Young, Brian Johnson",Let There Be Rock,MPEG audio file,0.99,1,Oslo
Rock,"Angus Young, Malcolm Young, Brian Johnson",For Those About To Rock We Salute You,MPEG audio file,0.99,1,Oslo
Rock,"Angus Young, Malcolm Young, Brian Johnson",Let There Be Rock,MPEG audio file,0.99,1,Oslo
Rock,"Angus Young, Malcolm Young, Brian Johnson",For Those About To Rock We Salute You,MPEG audio file,0.99,1,Oslo
Rock,"Angus Young, Malcolm Young, Brian Johnson",Let There Be Rock,MPEG audio file,0.99,1,Oslo
Rock,"Angus Young, Malcolm Young, Brian Johnson",For Those About To Rock We Salute You,MPEG audio file,0.99,1,Oslo
Rock,"Angus Young, Malcolm Young, Brian Johnson",Let There Be Rock,MPEG audio file,0.99,1,Oslo
Rock,AC/DC,Jagged Little Pill,MPEG audio file,0.99,1,Brussels
Rock,AC/DC,Jagged Little Pill,MPEG audio file,0.99,1,Brussels
Rock,"Steven Tyler, Joe Perry",Facelift,MPEG audio file,0.99,1,Brussels
Rock,"Steven Tyler, Tom Hamilton",Facelift,MPEG audio file,0.99,1,Brussels
Rock,"Steven Tyler, Jim Vallance",Facelift,MPEG audio file,0.99,1,Brussels
Rock,"Steven Tyler, Desmond Child",Facelift,MPEG audio file,0.99,1,Brussels
Rock,Alanis Morissette & Glenn Ballard,Warner 25 Anos,MPEG audio file,0.99,1,Edmonton
Rock,Alanis Morissette & Glenn Ballard,Chill: Brazil (Disc 2),MPEG audio file,0.99,1,Edmonton
Rock,Alanis Morissette & Glenn Ballard,Warner 25 Anos,MPEG audio file,0.99,1,Edmonton
Rock,Alanis Morissette & Glenn Ballard,Chill: Brazil (Disc 2),MPEG audio file,0.99,1,Edmonton
Rock,Jerry Cantrell,Plays Metallica By Four Cellos,MPEG audio file,0.99,1,Edmonton
Rock,"Jerry Cantrell, Michael Starr, Layne Staley",Plays Metallica By Four Cellos,MPEG audio file,0.99,1,Edmonton
Jazz,,Audioslave,MPEG audio file,0.99,1,Edmonton
Jazz,,Out Of Exile,MPEG audio file,0.99,1,Edmonton
Jazz,,Revelations,MPEG audio file,0.99,1,Edmonton
Jazz,,Audioslave,MPEG audio file,0.99,1,Edmonton
Jazz,,Out Of Exile,MPEG audio file,0.99,1,Edmonton
Jazz,,Revelations,MPEG audio file,0.99,1,Edmonton
Metal,Apocalyptica,BackBeat Soundtrack,MPEG audio file,0.99,1,Edmonton
Metal,Apocalyptica,BackBeat Soundtrack,MPEG audio file,0.99,1,Edmonton
Rock,Audioslave/Chris Cornell,The Best Of Billy Cobham,MPEG audio file,0.99,1,Edmonton
Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,0.99,1,Boston
Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Alcohol Fueled Brewtality Live! [Disc 2],MPEG audio file,0.99,1,Boston
Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,0.99,1,Boston
Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Alcohol Fueled Brewtality Live! [Disc 2],MPEG audio file,0.99,1,Boston
Rock And Roll,Chuck Berry,Black Sabbath,MPEG audio file,0.99,1,Boston
Rock And Roll,Chuck Berry,Black Sabbath Vol. 4 (Remaster),MPEG audio file,0.99,1,Boston
Jazz,Billy Cobham,Body Count,MPEG audio file,0.99,1,Boston
Metal,,Chemical Wedding,MPEG audio file,0.99,1,Boston
Metal,,The Best Of Buddy Guy - The Millenium Collection,MPEG audio file,0.99,1,Boston
Metal,,Prenda Minha,MPEG audio file,0.99,1,Boston
Metal,,Sozinho Remix Ao Vivo,MPEG audio file,0.99,1,Boston
Metal,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",Minha Historia,MPEG audio file,0.99,1,Boston
Alternative & Punk,,Afrociberdelia,MPEG audio file,0.99,1,Boston
Alternative & Punk,,Da Lama Ao Caos,MPEG audio file,0.99,1,Boston
Alternative & Punk,,Afrociberdelia,MPEG audio file,0.99,1,Boston
Alternative & Punk,,Da Lama Ao Caos,MPEG audio file,0.99,1,Boston
Metal,Roy Z,Acústico MTV [Live],MPEG audio file,0.99,1,Boston
Metal,Roy Z,Cidade Negra - Hits,MPEG audio file,0.99,1,Boston
Blues,Al Perkins/Willie Dixon,Na Pista,MPEG audio file,0.99,1,Boston
Latin,Tom Jobim - Newton Mendoça,Axé Bahia 2001,MPEG audio file,0.99,1,Boston
Latin,Tom Jobim - Newton Mendoça,Carnaval 2001,MPEG audio file,0.99,1,Boston
Latin,Tom Jobim - Newton Mendoça,Sambas De Enredo 2001,MPEG audio file,0.99,1,Boston
Latin,Tom Jobim - Newton Mendoça,Vozes do MPB,MPEG audio file,0.99,1,Boston
Latin,Caetano Veloso,Axé Bahia 2001,MPEG audio file,0.99,1,Boston
Latin,Caetano Veloso,Carnaval 2001,MPEG audio file,0.99,1,Boston
Latin,Caetano Veloso,Sambas De Enredo 2001,MPEG audio file,0.99,1,Boston
Latin,Caetano Veloso,Vozes do MPB,MPEG audio file,0.99,1,Boston
Latin,,Bongo Fury,MPEG audio file,0.99,1,Frankfurt
Latin,,Bongo Fury,MPEG audio file,0.99,1,Berlin
Latin,,Bongo Fury,MPEG audio file,0.99,1,Berlin
Latin,,Bongo Fury,MPEG audio file,0.99,1,Paris
Latin,,Bongo Fury,MPEG audio file,0.99,1,Paris
Latin,,Bongo Fury,MPEG audio file,0.99,1,Bordeaux
Latin,,Bongo Fury,MPEG audio file,0.99,1,Bordeaux
Latin,,Bongo Fury,MPEG audio file,0.99,1,Bordeaux
Latin,,Bongo Fury,MPEG audio file,0.99,1,Bordeaux
Latin,Chico Science,Chill: Brazil (Disc 1),MPEG audio file,0.99,1,Dublin
Latin,Chico Science,Chill: Brazil (Disc 1),MPEG audio file,0.99,1,Dublin
Latin,Chico Science,Chill: Brazil (Disc 1),MPEG audio file,0.99,1,Dublin
Latin,Chico Science,Chill: Brazil (Disc 1),MPEG audio file,0.99,1,Dublin
Latin,Chico Science,Chill: Brazil (Disc 1),MPEG audio file,0.99,1,Dublin
Latin,Chico Science,Chill: Brazil (Disc 1),MPEG audio file,0.99,1,Dublin
Reggae,Harry Lawes/Winston Foster-Vers,As Canções de Eu Tu Eles,MPEG audio file,0.99,1,London
Reggae,Harry Lawes/Winston Foster-Vers,Quanta Gente Veio Ver (Live),MPEG audio file,0.99,1,London
Reggae,Harry Lawes/Winston Foster-Vers,Quanta Gente Veio ver--Bônus De Carnaval,MPEG audio file,0.99,1,London
Reggae,Lulu Santos,As Canções de Eu Tu Eles,MPEG audio file,0.99,1,London
Reggae,Lulu Santos,Quanta Gente Veio Ver (Live),MPEG audio file,0.99,1,London
Reggae,Lulu Santos,Quanta Gente Veio ver--Bônus De Carnaval,MPEG audio file,0.99,1,London
Rock,Roger Taylor,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,MPEG audio file,0.99,1,Stuttgart
Rock,Queen,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,MPEG audio file,0.99,1,Stuttgart
Rock,"Paul Stanley, Vincent Poncia",The Best of Ed Motta,MPEG audio file,0.99,1,Stuttgart
Rock,Paul Stanley,The Best of Ed Motta,MPEG audio file,0.99,1,Stuttgart
Latin,,Elis Regina-Minha História,MPEG audio file,0.99,1,Halifax
Latin,Gonzaga Jr,Elis Regina-Minha História,MPEG audio file,0.99,1,Halifax
Latin,,Bongo Fury,MPEG audio file,0.99,1,Halifax
Latin,,Bongo Fury,MPEG audio file,0.99,1,Halifax
Alternative & Punk,Arnaldo Baptista - Rita Lee -  Sérgio Dias,Milton Nascimento Ao Vivo,MPEG audio file,0.99,1,Halifax
Alternative & Punk,Arnaldo Baptista - Rita Lee -  Sérgio Dias,Minas,MPEG audio file,0.99,1,Halifax
Alternative & Punk,Rita Lee - Arnaldo Baptista - Sérgio Baptista,Milton Nascimento Ao Vivo,MPEG audio file,0.99,1,Halifax
Alternative & Punk,Rita Lee - Arnaldo Baptista - Sérgio Baptista,Minas,MPEG audio file,0.99,1,Halifax
Alternative & Punk,Arnaldo Baptista - Rita Lee - Sérgio Dias,Milton Nascimento Ao Vivo,MPEG audio file,0.99,1,Halifax
Alternative & Punk,Arnaldo Baptista - Rita Lee - Sérgio Dias,Minas,MPEG audio file,0.99,1,Halifax
Rock,E. Shrody,Jorge Ben Jor 25 Anos,MPEG audio file,0.99,1,Paris
Rock,KC Porter & JB Eckl,Jorge Ben Jor 25 Anos,MPEG audio file,0.99,1,Paris
Jazz,,Greatest Hits II,MPEG audio file,0.99,1,Paris
Jazz,,Greatest Hits I,MPEG audio file,0.99,1,Paris
Jazz,,News Of The World,MPEG audio file,0.99,1,Paris
Jazz,,Greatest Hits II,MPEG audio file,0.99,1,Paris
Jazz,,Greatest Hits I,MPEG audio file,0.99,1,Paris
Jazz,,News Of The World,MPEG audio file,0.99,1,Paris
Jazz,,Greatest Hits II,MPEG audio file,0.99,1,Paris
Jazz,,Greatest Hits I,MPEG audio file,0.99,1,Paris
Jazz,,News Of The World,MPEG audio file,0.99,1,Paris
